pc4,lat,lon
8513,52.938,5.815
7335,52.198,5.954
2652,51.994,4.464
6213,50.838,5.667
2993,51.851,4.498
1506,52.442,4.819
6681,51.893,5.899
4463,51.514,3.881
6815,52.004,5.907
5425,51.540,5.712
5451,51.688,5.777
8701,53.064,5.524
1841,52.614,4.821
1118,52.302,4.756
4731,51.589,4.533
4721,51.498,4.554
2065,52.389,4.685
3263,51.825,4.397
9962,53.331,6.449
3572,52.098,5.134
8503,52.960,5.777
9671,53.143,7.034
2582,52.093,4.276
7913,52.703,6.540
5382,51.706,5.439
2135,52.298,4.664
4513,51.372,3.651
4814,51.588,4.754
8483,52.830,5.872
4538,51.315,3.840
9681,53.192,7.013
2203,52.241,4.452
3116,51.910,4.394
1396,52.247,4.990
3022,51.919,4.449
7585,52.231,6.994
1065,52.357,4.828
6017,51.163,5.842
6445,50.934,5.975
4711,51.550,4.589
1062,52.355,4.838
2571,52.069,4.287
1364,52.384,5.129
8218,52.450,5.512
1058,52.358,4.851
6905,51.920,6.086
9219,53.151,6.035
6686,51.891,5.999
2542,52.037,4.267
5434,51.718,5.856
8151,52.446,6.350
9134,53.382,6.090
7576,52.314,6.904
8066,52.671,6.062
5111,51.440,4.932
2727,52.072,4.512
3421,52.026,4.869
6026,51.311,5.619
1652,52.664,4.977
5211,51.689,5.304
9441,52.847,6.672
4824,51.609,4.746
6105,51.088,5.968
5157,51.722,5.091
4771,51.648,4.660
8196,52.331,6.089
9416,52.910,6.448
2292,52.019,4.289
1825,52.657,4.752
9463,53.020,6.737
5681,51.519,5.409
2825,51.949,4.706
6901,51.929,6.077
6039,51.194,5.715
9717,53.224,6.552
2742,52.043,4.643
8232,52.507,5.469
3206,51.830,4.325
8439,52.893,6.311
5984,51.358,5.995
7511,52.220,6.901
5644,51.418,5.489
4126,51.945,5.075
6525,51.820,5.866
3088,51.875,4.446
4041,51.933,5.571
8443,52.944,5.941
7772,52.576,6.632
6099,51.190,5.917
1614,52.698,5.205
9422,52.947,6.448
9545,53.008,7.186
4205,51.842,4.966
8841,53.165,5.633
3836,52.161,5.465
3112,51.917,4.410
1722,52.691,4.808
4051,51.911,5.571
5683,51.508,5.400
6732,52.131,5.748
2241,52.148,4.409
2023,52.396,4.633
8644,53.087,5.717
5057,51.588,5.137
1074,52.354,4.904
1674,52.759,5.077
2275,52.063,4.351
7927,52.678,6.485
5051,51.522,5.064
8524,52.937,5.694
9711,53.217,6.570
7533,52.222,6.920
4501,51.327,3.492
9827,53.193,6.415
5152,51.683,5.124
4116,51.911,5.334
2441,52.197,4.756
2104,52.332,4.613
3316,51.767,4.637
8332,52.793,6.132
7688,52.429,6.539
8481,52.841,5.911
3999,51.998,5.141
8582,52.905,5.522
6831,51.958,5.893
1033,52.409,4.890
6981,52.014,6.138
2026,52.418,4.653
9636,53.165,6.862
2624,51.996,4.355
8363,52.762,5.991
4176,51.825,5.241
9751,53.174,6.611
5257,51.732,5.187
5158,51.732,5.122
9417,52.817,6.478
7095,51.890,6.497
7314,52.219,5.946
6871,51.978,5.735
9661,53.049,7.002
6301,50.865,5.826
4268,51.728,5.011
2591,52.095,4.364
1275,52.291,5.263
3712,52.115,5.265
4838,51.560,4.717
9249,53.108,6.206
7439,52.245,6.148
8618,53.015,5.601
3542,52.117,5.053
6869,51.975,5.811
8564,52.885,5.572
1654,52.703,5.027
4503,51.380,3.509
5409,51.643,5.708
4121,51.961,5.155
4907,51.657,4.869
1025,52.399,4.936
8153,52.431,6.343
9979,53.444,6.830
1452,52.465,4.953
8581,52.925,5.541
3155,51.936,4.272
5706,51.463,5.632
7433,52.270,6.198
3771,52.147,5.588
2964,51.925,4.830
9061,53.241,5.890
3903,52.009,5.555
1773,52.842,5.083
